Column1	Column2	Column3	Column4	Column5	Column6	Column7
"LD IYl,A"	OCF(4)	OCF(4)				
"LD IYl,B"	OCF(4)	OCF(4)				
"LD IYl,C"	OCF(4)	OCF(4)				
"LD IYl,D"	OCF(4)	OCF(4)				
"LD IYl,E"	OCF(4)	OCF(4)				
"LD IYl,IYh"	OCF(4)	OCF(4)				
"LD IYl,IYl"	OCF(4)	OCF(4)				
"LD IYl,n"	OCF(4)	OCF(4)	OD(3)			
"LD L,(HL)"	OCF(4)	MR(3)				
"LD L,(IX+o)"	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(3)	
"LD L,(IY+o)"	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(3)	
"LD L,A"	OCF(4)					
"LD L,B"	OCF(4)					
"LD L,C"	OCF(4)					
"LD L,D"	OCF(4)					
"LD L,E"	OCF(4)					
"LD L,H"	OCF(4)					
"LD L,L"	OCF(4)					
"LD L,n"	OCF(4)	OD(3)				
"LD R,A"	OCF(4)	OCF(5)				
"LD SP,(nn)"	OCF(4)	ODL(3)	ODH(3)	MRL(3)	MRH(3)	
"LD SP,HL"	OCF(6)					
"LD SP,IX"	OCF(4)	OCF(6)				
"LD SP,IY"	OCF(4)	OCF(6)				
"LD SP,nn"	OCF(4)	ODL(3)	ODH(3)			
LDD	OCF(4)	OCF(4)	MR(3)	MW(5)		
LDDR	OCF(4)	OCF(4)	MR(3)	MW(5)	IO(5)*	
LDI	OCF(4)	OCF(4)	MR(3)	MW(5)		
LDIR	OCF(4)	OCF(4)	MR(3)	MW(5)	IO(5)*	
NEG	OCF(4)	OCF(4)				
NOP	OCF(4)					
OR (HL)	OCF(4)	MR(3)				
OR (IX+o)	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(3)	
OR (IY+o)	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(3)	
OR A	OCF(4)					
OR B	OCF(4)					
OR C	OCF(4)					
OR D	OCF(4)					
OR E	OCF(4)					
OR H	OCF(4)					
OR IXh	OCF(4)					
OR IXl	OCF(4)					
OR IYh	OCF(4)					
OR IYl	OCF(4)					
OR L	OCF(4)					
OR n	OCF(4)	OD(3)				
OTDR	OCF(4)	OCF(5)	MR(3)	PW(4)	IO(5)	
OTIR	OCF(4)	OCF(5)	MR(3)	PW(4)	IO(5)	
"OUT (C),A"	OCF(4)	OCF(4)	PW(4)			
"OUT (C),B"	OCF(4)	OCF(4)	PW(4)			
"OUT (C),C"	OCF(4)	OCF(4)	PW(4)			
"OUT (C),D"	OCF(4)	OCF(4)	PW(4)			
"OUT (C),E"	OCF(4)	OCF(4)	PW(4)			
"OUT (C),H"	OCF(4)	OCF(4)	PW(4)			
"OUT (C),L"	OCF(4)	OCF(4)	PW(4)			
"OUT (n),A"	OCF(4)	OD(3)	PW(4)			
OUTD	OCF(4)	OCF(5)	MR(3)	PW(4)		
OUTI	OCF(4)	OCF(5)	MR(3)	PW(4)		
POP AF	OCF(4)	SRH(3)	SRL(3)			
POP BC	OCF(4)	SRH(3)	SRL(3)			
POP DE	OCF(4)	SRH(3)	SRL(3)			
POP HL	OCF(4)	SRH(3)	SRL(3)			
POP IX	OCF(4)	OCF(4)	SRH(3)	SRL(3)		
POP IY	OCF(4)	OCF(4)	SRH(3)	SRL(3)		
PUSH AF	OCF(5)	SWH(3)	SWL(3)			
PUSH BC	OCF(5)	SWH(3)	SWL(3)			
PUSH DE	OCF(5)	SWH(3)	SWL(3)			
PUSH HL	OCF(5)	SWH(3)	SWL(3)			
PUSH IX	OCF(4)	OCF(5)	SWH(3)	SWL(3)		
PUSH IY	OCF(4)	OCF(5)	SWH(3)	SWL(3)		
"RES 0,(HL)"	OCF(4)	OCF(4)	MR(4)	MW(3)		
"RES 0,(IX+o)"	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(4)	MW(3)
"RES 0,(IY+o)"	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(4)	MW(3)
"RES 0,A"	OCF(4)	OCF(4)				
"RES 0,B"	OCF(4)	OCF(4)				
"RES 0,C"	OCF(4)	OCF(4)				
"RES 0,D"	OCF(4)	OCF(4)				
"RES 0,E"	OCF(4)	OCF(4)				
"RES 0,H"	OCF(4)	OCF(4)				
"RES 0,L"	OCF(4)	OCF(4)				
"RES 1,(HL)"	OCF(4)	OCF(4)	MR(4)	MW(3)		
"RES 1,(IX+o)"	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(4)	MW(3)
"RES 1,(IY+o)"	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(4)	MW(3)
"RES 1,A"	OCF(4)	OCF(4)				
"RES 1,B"	OCF(4)	OCF(4)				
"RES 1,C"	OCF(4)	OCF(4)				
"RES 1,D"	OCF(4)	OCF(4)				
"RES 1,E"	OCF(4)	OCF(4)				
"RES 1,H"	OCF(4)	OCF(4)				
"RES 1,L"	OCF(4)	OCF(4)				
"RES 2,(HL)"	OCF(4)	OCF(4)	MR(4)	MW(3)		
"RES 2,(IX+o)"	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(4)	MW(3)
"RES 2,(IY+o)"	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(4)	MW(3)
"RES 2,A"	OCF(4)	OCF(4)				
"RES 2,B"	OCF(4)	OCF(4)				
"RES 2,C"	OCF(4)	OCF(4)				
"RES 2,D"	OCF(4)	OCF(4)				
